Serial Number,NZDT,Heading
004-0009-00481,16/10/20 17:23:47,346.523781
004-0009-00481,16/10/20 17:23:46,342.3814636
004-0009-00481,16/10/20 17:23:44,342.8935611
004-0009-00481,16/10/20 17:23:43,345.2531161
004-0009-00481,16/10/20 17:23:42,341.1903316
004-0009-00481,16/10/20 17:23:41,334.8814609
004-0009-00481,16/10/20 17:23:39,339.874274
004-0009-00481,16/10/20 17:23:38,344.8777241
004-0009-00481,16/10/20 17:23:37,342.9543095
004-0009-00481,16/10/20 17:23:35,342.669612
004-0009-00481,16/10/20 17:23:34,346.2529979
004-0009-00481,16/10/20 17:23:32,345.8158498
004-0009-00481,16/10/20 17:23:31,344.80909
004-0009-00481,16/10/20 17:23:30,345.0241569
004-0009-00481,16/10/20 17:23:29,337.3370336
004-0009-00481,16/10/20 17:23:28,343.5757764
004-0009-00481,16/10/20 17:23:27,345.7209254
004-0009-00481,16/10/20 17:23:26,348.2130911
004-0009-00481,16/10/20 17:23:25,343.9909996
004-0009-00481,16/10/20 17:23:24,347.5021431
004-0009-00481,16/10/20 17:23:22,344.8350719
004-0009-00481,16/10/20 17:23:20,340.8284681
004-0009-00481,16/10/20 17:23:19,346.7265479
004-0009-00481,16/10/20 17:23:18,336.1956576
004-0009-00481,16/10/20 17:23:17,335.2286094
004-0009-00481,16/10/20 17:23:16,340.4071352
004-0009-00481,16/10/20 17:23:14,348.4041865
004-0009-00481,16/10/20 17:23:13,334.824086
004-0009-00481,16/10/20 17:23:12,335.6943411
004-0009-00481,16/10/20 17:23:11,339.4013652
004-0009-00481,16/10/20 17:23:09,341.5909841
004-0009-00481,16/10/20 17:23:08,342.651021
004-0009-00481,16/10/20 17:23:07,340.7180083
004-0009-00481,16/10/20 17:23:05,344.1009019
004-0009-00481,16/10/20 17:23:04,347.639094
004-0009-00481,16/10/20 17:23:03,344.4595752
004-0009-00481,16/10/20 17:23:01,351.4057564
004-0009-00481,16/10/20 17:23:00,349.0253676
004-0009-00481,16/10/20 17:22:58,335.8046511
004-0009-00481,16/10/20 17:22:57,352.828199
004-0009-00481,16/10/20 17:22:56,356.6198794
004-0009-00481,16/10/20 17:22:54,353.6731541
004-0009-00481,16/10/20 17:22:53,352.5399988
004-0009-00481,16/10/20 17:22:52,348.6621349
004-0009-00481,16/10/20 17:22:51,354.6112932
004-0009-00481,16/10/20 17:22:50,347.8490505
004-0009-00481,16/10/20 17:22:49,351.5204365
004-0009-00481,16/10/20 17:22:48,352.0191753
